"","GoodID","COO","Rating","No_of_reviews","RecentSoldnum","Price","Variety","Reserve","Protected_indicator_of_origin","Alcohol_Content","Body","RatingNo_of_reviews"
"1079","6226889","澳大利亚(Australia)",1,82,1528,279,"cabernet",0,1,13.5,"中高",82
"1080","6226890","澳大利亚(Australia)",0.9,207,5074,279,"syrah",0,1,13.5,"中高",186.3
"1081","6226893","澳大利亚(Australia)",1,27,539,279,"syrah",0,1,13.5,"中高",27
"1082","6226900","澳大利亚(Australia)",1,0,36,388,"syrah",0,1,13.5,"中高",0
"1105","6227535","法国(France)",0.8,22,500,259,"cabernet",1,1,13,"中",17.6
"1129","6228229","法国(France)",0.9,39,1730,286,"merlot",0,1,13,"中高",35.1
"1140","6228887","智利(Chile)",1,2,119,1799,"syrah",1,1,15,"中高",2
"1146","6229282","澳大利亚(Australia)",0.9,20,528,239,"merlot",0,1,13.5,"中高",18
"1151","6229379","智利(Chile)",1,0,67,320,"cabernet",1,1,13,"中高",0
"1172","6229930","法国(France)",0.8,1,26,490,"syrah",1,1,13,"中高",0.8
"1240","6230873","智利(Chile)",1,0,68,318,"carmenere",0,0,13.5,"中高",0
"1241","6230874","智利(Chile)",1,0,7,375,"suavignon",0,0,13,"中低",0
"1243","6230876","智利(Chile)",0.8,4,162,278,"merlot",0,0,13.5,"中高",3.2
"1244","6230877","智利(Chile)",0.8,1,455,278,"shiraz",0,0,13.5,"中高",0.8
"1245","6230878","智利(Chile)",1,0,6428,399,"suavignon",0,0,13,"中",0
"1247","6230882","智利(Chile)",1,0,7128,419,"sauvignon",0,0,13.5,"中",0
"1251","6230888","澳大利亚(Australia)",0.9,2,108,268,"chardonnay",0,0,13.5,"中",1.8
"1254","6230895","澳大利亚(Australia)",1,1,7,509,"cabernet",1,0,13.5,"重",1
"1255","6230897","智利(Chile)",1,0,2863,599,"syrah",0,0,13.5,"中低",0
"1256","6230898","智利(Chile)",1,0,8,818,"gewurztraminer",0,0,12,"中高",0
"1268","6231070","德国(Germany)",1,0,22,799,"riesling",0,1,8.5,"中",0
"1271","6231191","西班牙(Spain)",1,0,2,639,"grenache",1,1,14.5,"中高",0
"1272","6231206","法国(France)",1,0,9,999,"syrah",1,1,13.5,"重",0
"1410","6232902","法国(France)",1,0,21,1315,"chenin",1,1,12.5,"中",0
"1435","6233109","澳大利亚(Australia)",1,0,90,86,"syrah",0,1,13.5,"中高",0
"1436","6233113","澳大利亚(Australia)",1,0,995,86,"cabernet",0,1,13.5,"中高",0
"1437","6233115","澳大利亚(Australia)",1,0,45,98,"merlot",0,1,13.5,"中高",0
"1454","6233305","澳大利亚(Australia)",1,0,661,178,"cabernet",1,0,13.5,"重",0
"1458","6233315","澳大利亚(Australia)",1,0,548,178,"merlot",1,0,12.9,"中高",0
"1487","6233638","德国(Germany)",1,0,41,298,"riesling",0,1,8.5,"中",0
"1499","6233908","法国(France)",1,0,6,1001,"cabernet",1,1,13,"中",0
"1553","6234885","德国(Germany)",1,0,7,199,"riesling",1,1,10,"中",0
"1564","6235292","智利(Chile)",1,0,36,177,"sauvignon",0,1,13.5,"中",0
"1632","6235900","澳大利亚(Australia)",1,0,7,159,"syrah",0,1,13.5,"中高",0
"1636","6235935","法国(France)",1,0,6,406,"syrah",1,1,12,"中",0
"1637","6235936","智利(Chile)",1,0,26,257,"sauvignon",0,1,13,"中低",0
"1639","6235941","智利(Chile)",1,0,6,177,"sauvignon",0,1,13,"中低",0
"1640","6235943","法国(France)",1,0,11,159,"chardonnay",0,1,12,"中低",0
"1663","6236430","智利(Chile)",1,0,137,58,"shiraz",0,0,13.5,"中高",0
